Bedrijfsnaam,Branche,Website,Email
Ijs Bakkerij,"bakery, food, store, point_of_interest, establishment",,
Luxe Bakkerij,"bakery, food, store, point_of_interest, establishment",,
La Tarte,"bakery, food, store, point_of_interest, establishment",http://www.latarte.nl/,
Bakkerij Berrak,"bakery, food, store, point_of_interest, establishment",,
Bakhuys Amsterdam,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",http://www.bakhuys-amsterdam.nl/,info@bakhuys-amsterdam.nlVergeet
Bakery van der Heijden,"bakery, food, store, point_of_interest, establishment",http://www.broodbakkerijvanderheijden.nl/,
De Bakkers Van Oost Sumatrastraat,"bakery, food, store, point_of_interest, establishment",https://www.debakkersvanoost.nl/,kadijksplein@debakkersvanoost.nl
Hans Egstorf,"bakery, food, store, point_of_interest, establishment",https://www.hansegstorf.com/?utm_source=GMB&utm_medium=organic&utm_campaign,
Brothers Niemeijer,"bakery, food, store, point_of_interest, establishment",http://www.gebroedersniemeijer.nl/,info@gebroedersniemeijer.nl.
Broodbakker Simon Meijssen,"bakery, food, store, point_of_interest, establishment",http://www.simonmeijssen.nl/,
bakery Westerpark,"bakery, food, store, point_of_interest, establishment",http://www.bakkerijwesterpark.com/,
Le Fournil de Sébastien Amsterdam,"bakery, food, store, point_of_interest, establishment",http://www.lefournil.nl/,
Bakkerij Wolf - Wolvenstraat,"bakery, restaurant, food, store, point_of_interest, establishment",https://bakkerijwolf.nl/,info@bakkerijwolf.com
Bakery DAM,"bakery, food, store, point_of_interest, establishment",,
Bakkerij Sjoerd van Willes,"bakery, food, store, point_of_interest, establishment",http://www.sjoerdvanwilles.nl/,
levain et le vin,"bakery, liquor_store, food, store, point_of_interest, establishment",http://www.levainetlevin.com/,Contactflorence@levainetlevin.com
Bakkerij Mas,"bakery, cafe, bar, restaurant, food, store, point_of_interest, establishment",http://www.bakkerijmas.nl/,info@bakkerijmas.nl
Bakery Bos En Lommerplein,"bakery, food, store, point_of_interest, establishment",http://bosenlommerplein.com/mkb-winkels/bakkerij-bos-en-lommerplein,
Broodbakker Mensink,"bakery, restaurant, food, store, point_of_interest, establishment",,
Bakkerij Reyhan,"bakery, food, store, point_of_interest, establishment",http://karafirin.nl/,
Bakery Hicret,"bakery, food, store, point_of_interest, establishment",,
Broodbakker Simon Meijssen,"bakery, food, store, point_of_interest, establishment",http://www.simonmeijssen.nl/,
Hartog's Wholegrain Bakery and Milling,"bakery, food, store, point_of_interest, establishment",http://www.volkorenbrood.nl/,OPENINGSTIJDENContactinfo@volkorenbrood.nl020
bakery Westerbos,"bakery, food, store, point_of_interest, establishment",,
Stadsbakkerij As,"bakery, food, store, point_of_interest, establishment",https://mymenuweb.com/int/restaurants/1762558/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,
Warme Bakker,"bakery, food, store, point_of_interest, establishment",,
Bakkerij Basak,"bakery, food, store, point_of_interest, establishment",https://www.bakkerijbasak-zeist.nl/,
Kwekkeboom Banketbakkerij Noord,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",https://kwekkeboom.amsterdam/,
Bakkerij NAZAR,"bakery, food, store, point_of_interest, establishment",,
Balvert Bakkerij,"bakery, food, store, point_of_interest, establishment",,
`Bakkerij Verhagen,"bakery, food, store, point_of_interest, establishment",https://www.bakkerijverhagen.nl/,bakkerijverhagen@gmail.com
Bakkerij Mater,"bakery, food, store, point_of_interest, establishment",http://bakkerijmater.nl/,brood@bakkerijmater.nl
Broodbakker Simon Meijssen,"bakery, food, store, point_of_interest, establishment",http://www.simonmeijssen.nl/,
van Vessem,"bakery, food, store, point_of_interest, establishment",http://www.bakkerijvanvessem.nl/,info@vvlp.nlMaatschappelijk
Kwekkeboom Banketbakkerij Zuid,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",https://kwekkeboom.amsterdam/,
Bakkerij Kwakman Leidsestraat,"bakery, food, store, point_of_interest, establishment",,
Baking with Passion,"bakery, food, store, point_of_interest, establishment",http://www.bakkenmetpassie.nl/,info@bakkenmetpassie.nl
Baking Lab Amsterdam,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",https://www.bakinglab.nl/,workshop@bakinglab.nl
Bakkerij Dekker Mercatorplein,"bakery, food, store, point_of_interest, establishment",http://bakkerijdekker.nl/,
De Bakkers van Oost Kadijksplein,"bakery, food, store, point_of_interest, establishment",http://www.debakkersvanoost.nl//,kadijksplein@debakkersvanoost.nl
Antakya bakkerij,"bakery, food, store, point_of_interest, establishment",,
Ulmus Bakery,"bakery, food, store, point_of_interest, establishment",http://ulmusbakkerij.nl/,
Bakkerij v.d. Heijden,"bakery, food, store, point_of_interest, establishment",http://www.broodbakkerijvanderheijden.nl/over-ons/,
Breadz BV,"bakery, food, store, point_of_interest, establishment",http://www.breadz.nl/,info@breadz.nl
Chimney Cake Bakery & Café,"bakery, cafe, food, store, point_of_interest, establishment",https://chimneyamsterdam.nl/?utm_source=gmb&utm_medium=gmb,info@chimneyamsterdam.nl
Bakkerij De Lekkernij,"bakery, restaurant, food, store, point_of_interest, establishment",http://www.delekkernijamsterdam.jouwweb.nl/,
Vlaamsch Broodhuys,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",https://www.vlaamschbroodhuys.nl/winkels/amsterdam/eerste-constantijn-huygensstraat/,info@vlaamschbroodhuys.nl
Bakkerij Mediterrane,"bakery, food, store, point_of_interest, establishment",,
Bakkerij Damla,"bakery, food, store, point_of_interest, establishment",,
"Bakkerij ""Mediterrane""","bakery, food, store, point_of_interest, establishment",,
De Lekkere Bakkerij Sloterkade,"bakery, restaurant, food, store, point_of_interest, establishment",https://www.delekkerebakkerijsloterkade.nl/,info@delekkerebakkerijsloterkade.nl
Bakkerij Solinger,"bakery, food, store, point_of_interest, establishment",,
Stefs Bakery,"bakery, cafe, food, store, point_of_interest, establishment",http://www.stefsbakery.nl/,
Craft Coffee & Pastry Amsterdam,"bakery, cafe, food, store, point_of_interest, establishment",http://www.craft-amsterdam.nl/,info@craft-amsterdam.nl
Brood- en Banketbakkerij Johnnie en Marica vd Horst,"bakery, food, store, point_of_interest, establishment",https://facebook.com/pages/Bakkerij-Johnny-En-Marica-Van-Der-Horst/568952309786500,
Bakkerij Al Maghrib,"bakery, food, store, point_of_interest, establishment",,
Bbrood,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",http://www.bbrood.nl/,
Margo's Amsterdam,"bakery, cafe, meal_takeaway, restaurant, food, store, point_of_interest, establishment",http://www.margosamsterdam.com/,
Bakkerij Van Wou,"bakery, food, store, point_of_interest, establishment",,
Vlaamsch Broodhuys Vijzelstraat Amsterdam,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",https://www.vlaamschbroodhuys.nl/winkels/amsterdam/vijzelstraat/,info@vlaamschbroodhuys.nl
